"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.143661542E0,5.890121460E0,1.798317719E1,-4.746725464E1,5.110018058E1
3.153635542E0,5.991455078E0,1.807153320E1,-4.751296997E1,5.118554641E1
3.163608542E0,6.015739441E0,1.802040100E1,-4.749874878E1,5.115716088E1
3.173581542E0,5.906356812E0,1.802974701E1,-4.717053223E1,5.084305202E1
3.183554542E0,5.846549988E0,1.807958984E1,-4.757781982E1,5.123185196E1
3.193528542E0,5.684997559E0,1.789580536E1,-4.751925659E1,5.109460631E1
3.203501542E0,5.633178711E0,1.773163605E1,-4.738552856E1,5.090709122E1
3.213474542E0,5.648185730E0,1.795150757E1,-4.747540283E1,5.106929116E1
3.223447542E0,5.764938354E0,1.820162201E1,-4.729678345E1,5.100509075E1
3.233420542E0,5.563354492E0,1.820790863E1,-4.749453735E1,5.116844661E1
3.243394542E0,5.683418274E0,1.816865540E1,-4.747030640E1,5.114519793E1
3.253367542E0,5.588867188E0,1.826815796E1,-4.758889771E1,5.128025172E1
3.263340542E0,5.508666992E0,1.854186249E1,-4.751177979E1,5.129829719E1
3.273313542E0,5.508842468E0,1.848242188E1,-4.774584961E1,5.149381923E1
3.283286542E0,5.529945374E0,1.851480103E1,-4.779589844E1,5.155410808E1
3.293260542E0,5.464309692E0,1.848297882E1,-4.721917725E1,5.100127338E1
3.303233542E0,5.264167786E0,1.837556458E1,-4.728451538E1,5.100194340E1
